Tags	Question	Answers	URL
Geography	"Name a city in France with a population between 300,000 and 1 million people (or to say it another way, a city with more than 300,000 people that is not Paris)"	"Marseille, Lyon, Toulouse, Nice"	http://www.citymayors.com/gratis/french_cities.html
Geography	"Name one of the top 5 ""2010 Most Dangerous US Cities with a population > 500,000 people"""	"Detroit, Washington, Baltimore, Memphis, Dallas"	"http://www.morganquitno.com/cit05pop.htm#500,000+"

Entertainment	"According to Google, who were the five celebrities who people in the US searched for the most in 2010"	"Justin Bieber, Lady Gaga, Kim Kardashian, Nicki Minaj, Miley Cyrus"	http://www.google.com/intl/en/press/zeitgeist2010/regions/us/celebrities.html
Entertainment	Elizabeth Taylor married 7 different men.  Name one of the three husbands with whom she had a child.	"Michael Wilding, Michael Todd, Richard Burton"	http://en.wikipedia.org/wiki/Elizabeth_Taylor

Sports	Name a Major League Baseball player who earned more than $20 million for a season and did not play that year with the NY Yankees.	"Manny Ramirez, Alex Rodriguez, Barry Bonds"	http://www.baseball-reference.com/leaders/leaders_salaries.shtml
Sports	Name a Major League Baseball player whose career started after 1900 and who played 25 or more seasons	"Nolan Ryan, Tommy John, Ricky Henderson, Jim Kaat, Charlie Hough, Eddie Collins"	http://www.baseball-reference.com/leaders/leaders_most_seasons.shtml
Sports	"Name a current English Premiere League team that has spent at least 90 years in the top division (note, that predates the formation of the Premier League)."	"Everton, Aston Villa, Liverpool, Arsenal"	http://en.wikipedia.org/wiki/Premier_League
Sports	"Name a running back who in 2010 ran for at least 1,300 yards"	"Arian Foster, Jamaal Charles, Michael Turner, Chris Johnson, Maurice Jones-Drew"	http://www.pro-football-reference.com/years/2010/leaders.htm

Games	Name a letter that is worth 5 or more points in Scrabble	"Q,Z,X,W,J"
Games	"Not counting Go, Free Parking, or Jail/Just Visiting, what are the four most likely squares you will end your turn on in Monopoly"	"Illinois Ave, B&O Railroad,Tennessee Ave, New York Ave"	http://www.tkcs-collins.com/truman/monopoly/monopoly.shtml
"Games, Sports"	Name one of the last four players featured in RBI Baseball for the Nintendo Entertainment System (NES) to appear on active Major League Baseball Rosters.  (HINT: Two retired after the 2005 season and two last played in 2007).	"Roger Clemens, Julio Franco, John Franco, Benito Santiago"	http://dee-nee.com/rbi/
